Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:15:02,2500,3225,3300,130,-6,1
14:15:02,2550,0,3300,0,-6,2
14:15:02,2550,0,3250,0,-6,2
14:15:03,2500,0,3275,0,-7,2
14:15:03,2525,0,3275,5,-6,2
14:15:03,2575,0,3275,0,-7,2
14:15:03,2500,0,3275,0,-7,2
14:15:04,2525,0,3275,0,-6,2
14:15:04,2575,0,3275,0,-7,2
14:15:04,2550,0,3325,110,-7,2
14:15:05,2500,0,3275,0,-7,3
14:15:05,2525,0,3275,48,-7,3
14:15:05,2575,0,3275,0,-7,3
14:15:05,2575,0,3275,0,-7,3
14:15:06,2575,0,3225,0,-7,3
14:15:06,2500,0,3300,130,-7,3
14:15:06,2575,0,3250,69,-7,3
14:15:07,2550,0,3250,0,-7,3
14:15:07,2575,0,3200,0,-7,3
14:15:07,2500,0,3225,27,-7,4
14:15:07,2500,0,3300,27,-7,4
14:15:08,2475,0,3300,0,-7,4
14:15:08,2500,0,3275,0,-7,4
14:15:08,2525,0,3250,0,-7,4
14:15:08,2575,0,3275,90,-7,4
14:15:09,2550,0,3200,130,-7,4
14:15:09,2550,0,3250,0,-7,4
14:15:09,2500,0,3275,150,-7,4
14:15:10,2575,-18186,3225,90,-7,4
14:15:10,2550,2500,3300,27,-7,4
14:15:10,2475,2475,3300,0,-7,4
14:15:10,2550,2500,3275,0,-7,4
14:15:11,2550,2450,3275,0,-7,5
14:15:11,2500,2475,3250,27,-7,6
14:15:11,2525,2500,3300,0,-7,6
14:15:12,2550,2500,3250,110,-7,6
14:15:12,2525,2475,3225,0,-7,6
14:15:12,2575,2475,3275,0,-7,6
14:15:12,2525,2500,3300,0,-7,6
14:15:13,2525,2500,3250,110,-7,6
14:15:13,2550,2450,3250,90,-7,6
14:15:13,2575,2450,3275,110,-7,6
14:15:14,2525,2475,3275,0,-7,6
14:15:14,2575,2450,3275,169,-7,7
14:15:14,2550,2450,3275,0,-7,7
14:15:14,2550,2525,3275,0,-7,7
14:15:15,2525,2500,3275,27,-7,7
14:15:15,2550,2500,3275,0,-7,7
14:15:15,2550,2475,3250,0,-7,7
14:15:16,2550,2475,3275,0,-7,7
14:15:16,2550,2500,3275,150,-7,7
14:15:16,2550,2450,3300,48,-7,7
14:15:17,2550,2500,3250,0,-7,7
14:15:17,2550,2475,3250,0,-7,7
14:15:17,2575,2525,3275,0,-7,7
14:15:18,2550,2500,3300,0,-7,7
14:15:18,2500,0,3250,0,-11,7
14:15:18,2500,2650,3300,0,-423,7
14:15:18,2550,2675,3250,5,-491,7
14:15:19,2575,2625,3250,0,-496,7
14:15:19,2550,2775,3275,130,-497,7
14:15:19,2550,2700,3275,0,-499,7
14:15:19,2525,2725,3275,130,-498,7
14:15:20,2550,2725,3275,0,-498,7
14:15:20,2550,2675,3275,0,-497,7
14:15:20,2550,2650,3300,130,-497,7
14:15:21,2550,2675,3250,0,-498,7
14:15:21,2525,2650,3275,0,-496,7
14:15:21,2550,2675,3300,90,-497,7
14:15:21,2525,2650,3275,110,-499,7
14:15:22,2575,2675,3275,0,-500,7
14:15:22,2525,2675,3275,0,-501,7
14:15:22,2550,2650,3275,0,-502,7
14:15:23,2575,2675,3275,150,-502,7
14:15:23,2550,2675,3275,0,-502,7
14:15:23,2500,2700,3275,110,-502,7
14:15:23,2575,2675,3275,0,-501,7
14:15:24,2525,2675,3250,0,-501,7
14:15:24,2550,2700,3250,0,-501,7
14:15:24,2575,2675,3300,0,-500,7
14:15:24,2575,2650,3275,69,-497,7
14:15:25,2550,2625,3250,69,-499,7
14:15:25,2475,2675,3275,110,-510,7
14:15:25,2550,2650,3250,0,-512,7
14:15:26,2550,2675,3225,5,-512,7
14:15:26,2500,2625,3275,0,-513,7
14:15:26,2550,2650,3275,188,-513,7
14:15:26,2575,2575,3250,130,-512,7
14:15:27,2575,2650,3275,0,-513,7
14:15:27,2550,2650,3275,0,-513,7
14:15:27,2550,2750,3250,0,-492,8
14:15:28,2550,2775,3275,0,-497,8
14:15:28,2550,2775,3275,0,-511,8
14:15:28,2575,2875,3300,0,-509,8
14:15:28,2550,2550,3250,150,-542,8
14:15:29,2575,2475,3275,90,-673,8
14:15:29,2575,2500,3275,110,-676,8
14:15:29,2525,2500,3250,0,-702,9
14:15:29,2550,2525,3275,0,-711,9
14:15:30,2550,2525,3275,90,-716,9
14:15:30,2550,2550,3275,0,-711,9
14:15:30,2550,2475,3275,188,-678,9
14:15:31,2550,2475,3275,0,-557,9
14:15:31,2550,2600,3300,110,-556,9
14:15:31,2525,2525,3275,0,-687,9
14:15:31,2525,2500,3250,150,-717,9
14:15:32,2575,2550,3250,110,-709,9
14:15:32,2500,2550,3250,0,-717,9
14:15:32,2525,2575,3300,0,-724,9
14:15:33,2550,2500,3275,0,-725,9
14:15:33,2525,2600,3275,0,-728,9
